time;load
01.01.2021 01:00;36.627,688
01.01.2021 02:00;34.880,024
01.01.2021 03:00;34.346,545
01.01.2021 04:00;33.840,104
01.01.2021 05:00;33.072,930
01.01.2021 06:00;32.336,697
01.01.2021 07:00;31.627,283
01.01.2021 08:00;29.866,943
01.01.2021 09:00;29.369,527
01.01.2021 10:00;29.710,674
01.01.2021 11:00;30.291,652
01.01.2021 12:00;31.007,266
01.01.2021 13:00;31.799,557
01.01.2021 14:00;32.204,744
01.01.2021 15:00;31.900,131
01.01.2021 16:00;31.526,614
01.01.2021 17:00;31.439,173
01.01.2021 18:00;31.948,204
01.01.2021 19:00;32.650,614
01.01.2021 20:00;33.844,885
01.01.2021 21:00;36.937,500
01.01.2021 22:00;39.330,420
01.01.2021 23:00;39.234,713
02.01.2021 00:00;38.391,623
02.01.2021 01:00;37.376,637
02.01.2021 02:00;35.500,731
02.01.2021 03:00;33.810,350
02.01.2021 04:00;32.534,952
02.01.2021 05:00;31.828,681
02.01.2021 06:00;31.344,065
02.01.2021 07:00;31.151,051
02.01.2021 08:00;30.048,337
02.01.2021 09:00;30.276,838
02.01.2021 10:00;31.279,856
02.01.2021 11:00;32.514,670
02.01.2021 12:00;33.410,604
02.01.2021 13:00;34.013,272
02.01.2021 14:00;34.509,117
02.01.2021 15:00;34.911,930
02.01.2021 16:00;35.081,935
02.01.2021 17:00;35.267,035
02.01.2021 18:00;35.746,703
02.01.2021 19:00;36.323,803
02.01.2021 20:00;37.137,040
02.01.2021 21:00;39.664,882
02.01.2021 22:00;41.349,564
02.01.2021 23:00;40.424,664
03.01.2021 00:00;39.016,625
03.01.2021 01:00;37.697,586
03.01.2021 02:00;35.799,010
03.01.2021 03:00;33.951,332
03.01.2021 04:00;32.443,876
03.01.2021 05:00;31.495,533
03.01.2021 06:00;30.927,929
03.01.2021 07:00;30.568,649
03.01.2021 08:00;29.137,819
03.01.2021 09:00;29.068,246
03.01.2021 10:00;29.763,283
03.01.2021 11:00;30.661,439
03.01.2021 12:00;31.448,735
03.01.2021 13:00;32.139,596
03.01.2021 14:00;32.740,916
03.01.2021 15:00;32.951,074
03.01.2021 16:00;33.135,065
03.01.2021 17:00;33.370,002
03.01.2021 18:00;34.022,745
03.01.2021 19:00;34.948,049
03.01.2021 20:00;36.429,126
03.01.2021 21:00;38.903,897
03.01.2021 22:00;40.477,567
03.01.2021 23:00;39.774,717
04.01.2021 00:00;38.619,325
04.01.2021 01:00;37.157,013
04.01.2021 02:00;35.252,398
04.01.2021 03:00;33.583,586
04.01.2021 04:00;32.359,837
04.01.2021 05:00;31.762,139
04.01.2021 06:00;31.569,776
04.01.2021 07:00;31.929,110
04.01.2021 08:00;32.349,659
04.01.2021 09:00;34.466,176
04.01.2021 10:00;37.331,815
04.01.2021 11:00;39.309,550
04.01.2021 12:00;40.660,045
04.01.2021 13:00;41.294,654
04.01.2021 14:00;41.417,720
04.01.2021 15:00;42.049,708
04.01.2021 16:00;43.115,863
04.01.2021 17:00;43.684,764
04.01.2021 18:00;43.986,221
04.01.2021 19:00;43.053,053
04.01.2021 20:00;41.565,153
04.01.2021 21:00;43.722,397
04.01.2021 22:00;45.598,617
04.01.2021 23:00;45.421,240
05.01.2021 00:00;43.971,200
05.01.2021 01:00;41.852,094
05.01.2021 02:00;39.110,084
05.01.2021 03:00;37.132,845
05.01.2021 04:00;35.627,362
05.01.2021 05:00;34.830,737
05.01.2021 06:00;34.518,498
05.01.2021 07:00;34.602,541
05.01.2021 08:00;34.736,244
05.01.2021 09:00;36.681,391
